Rank,Player Name,Position,Position Rank,Team,Age,Tier,Value
44,2027 Early 1st,PICK,None,None,None,Tier 6,5508
45,Cam Ward,QB,16,FA,N/A,Tier 6,5472
46,Trevor Lawrence,QB,17,JAC,25.5,Tier 6,5464
47,Baker Mayfield,QB,18,TBB,30,Tier 6,5458
48,Jonathan Taylor,RB,9,IND,26.2,Tier 6,5455
49,Michael Penix Jr.,QB,19,ATL,24.9,Tier 6,5450
50,Kyren Williams,RB,10,LAR,24.6,Tier 6,5447
51,DeVonta Smith,WR,17,PHI,26.4,Tier 6,5401
52,Rashee Rice,WR,18,KCC,25,Tier 6,5390
53,Sam LaPorta,TE,3,DET,24.2,Tier 6,5386
54,2025 Mid 1st,PICK,None,None,None,Tier 6,5377
55,Tetairoa McMillan,WR,19,FA,N/A,Tier 6,5320
56,Jordan Addison,WR,20,MIN,23.2,Tier 7,5016
57,James Cook,RB,11,BUF,25.5,Tier 7,5004
58,TreVeyon Henderson,RB,12,FA,N/A,Tier 7,4979
59,Jared Goff,QB,20,DET,30.5,Tier 7,4951
60,Bryce Young,QB,21,CAR,23.7,Tier 7,4876
61,Xavier Worthy,WR,21,KCC,22,Tier 7,4871
62,D.J. Moore,WR,22,CHI,28,Tier 7,4846
63,Travis Hunter,WR,23,FA,N/A,Tier 7,4835
64,2026 Mid 1st,PICK,None,None,None,Tier 7,4801
65,Kenneth Walker III,RB,13,SEA,24.5,Tier 7,4798
66,Zay Flowers,WR,24,BAL,24.6,Tier 7,4792
67,Tyler Warren,TE,4,FA,N/A,Tier 7,4761
68,2027 Mid 1st,PICK,None,None,None,Tier 7,4694
69,Dak Prescott,QB,22,DAL,31.7,Tier 7,4687
70,2025 Late 1st,PICK,None,None,None,Tier 7,4680
71,Jaylen Waddle,WR,25,MIA,26.4,Tier 7,4673
72,Josh Jacobs,RB,14,GBP,27.2,Tier 7,4671
73,Chris Olave,WR,26,NOS,24.8,Tier 7,4670
74,Quinshon Judkins,RB,15,FA,N/A,Tier 7,4658
75,Christian McCaffrey,RB,16,SFO,28.8,Tier 7,4640
76,Chase Brown,RB,17,CIN,25.1,Tier 7,4638
77,DK Metcalf,WR,27,PIT,27.3,Tier 7,4616
78,Emeka Egbuka,WR,28,FA,N/A,Tier 7,4611
79,Jameson Williams,WR,29,DET,24,Tier 7,4589
80,Shedeur Sanders,QB,23,FA,N/A,Tier 8,4473
81,Terry McLaurin,WR,30,WAS,29.6,Tier 8,4470
82,Tua Tagovailoa,QB,24,MIA,27.1,Tier 9,4354
83,2026 Late 1st,PICK,None,None,None,Tier 9,4324
84,Derrick Henry,RB,18,BAL,31.3,Tier 9,4320
85,T.J. Hockenson,TE,5,MIN,27.8,Tier 9,4299
86,Luther Burden,WR,31,FA,N/A,Tier 9,4250
87,Chuba Hubbard,RB,19,CAR,25.8,Tier 9,4243
88,2027 Late 1st,PICK,None,None,None,Tier 9,4237
89,Ricky Pearsall,WR,32,SFO,24.6,Tier 9,4225
90,Brandon Aiyuk,WR,33,SFO,27.1,Tier 9,4218
91,Sam Darnold,QB,25,SEA,27.8,Tier 9,4213
92,George Pickens,WR,34,PIT,24.1,Tier 9,4213
93,Chris Godwin,WR,35,TBB,29.1,Tier 9,4196
94,Justin Fields,QB,26,NYJ,26.1,Tier 9,4136
95,Mike Evans,WR,36,TBB,31.6,Tier 9,4130
96,George Kittle,TE,6,SFO,31.5,Tier 10,4023
97,Tyreek Hill,WR,37,MIA,31.1,Tier 10,3968
98,Colston Loveland,TE,7,FA,N/A,Tier 10,3939
99,2025 Early 2nd,PICK,None,None,None,Tier 10,3926
100,Jayden Reed,WR,38,GBP,25,Tier 10,3899
101,Kaleb Johnson,RB,20,FA,N/A,Tier 10,3885
102,Matthew Golden,WR,39,FA,N/A,Tier 10,3875
103,Josh Downs,WR,40,IND,23.7,Tier 10,3849
104,Jerry Jeudy,WR,41,CLE,26,Tier 10,3842
105,Khalil Shakir,WR,42,BUF,25.2,Tier 10,3839
106,Joe Mixon,RB,21,HOU,28.7,Tier 10,3812
107,Jaxson Dart,QB,27,FA,N/A,Tier 10,3776
108,David Montgomery,RB,22,DET,27.8,Tier 10,3771
109,Keon Coleman,WR,43,BUF,21.9,Tier 11,3641
110,Anthony Richardson,QB,28,IND,22.9,Tier 11,3636
111,Jalen McMillan,WR,44,TBB,23.3,Tier 11,3622
112,Alvin Kamara,RB,23,NOS,29.7,Tier 11,3616
113,Davante Adams,WR,45,LAR,32.3,Tier 12,3555
114,Tyrone Tracy,RB,24,NYG,25.4,Tier 12,3508
115,Najee Harris,RB,25,LAC,27.1,Tier 12,3484
116,Dalton Kincaid,TE,8,BUF,25.5,Tier 12,3470
117,Michael Pittman,WR,46,IND,27.5,Tier 12,3455
118,2025 Mid 2nd,PICK,None,None,None,Tier 12,3453
119,Geno Smith,QB,29,LVR,34.5,Tier 13,3400
120,Courtland Sutton,WR,47,DEN,29.5,Tier 13,3396
121,Zach Charbonnet,RB,26,SEA,24.2,Tier 13,3380
122,2026 Early 2nd,PICK,None,None,None,Tier 13,3369
123,Cam Skattebo,RB,27,FA,N/A,Tier 13,3361
124,Kyle Pitts,TE,9,ATL,24.5,Tier 13,3354
125,Tucker Kraft,TE,10,GBP,24.4,Tier 13,3347
126,David Njoku,TE,11,CLE,28.8,Tier 13,3338
127,Matthew Stafford,QB,30,LAR,37.2,Tier 14,3285
128,James Conner,RB,28,ARI,29.9,Tier 14,3259
129,Trey Benson,RB,29,ARI,22.7,Tier 14,3247
130,Isaiah Likely,TE,12,BAL,25,Tier 14,3234
131,Mark Andrews,TE,13,BAL,29.6,Tier 14,3221
132,Brian Robinson,RB,30,WAS,26,Tier 14,3217
133,2027 Early 2nd,PICK,None,None,None,Tier 14,3213
134,Travis Etienne,RB,31,JAC,26.2,Tier 14,3191
135,Jauan Jennings,WR,48,SFO,27.8,Tier 14,3184
136,Jakobi Meyers,WR,49,LVR,28.4,Tier 14,3173
137,Jaylen Warren,RB,32,PIT,26.4,Tier 14,3123
138,Deebo Samuel,WR,50,WAS,29.2,Tier 14,3111
139,2026 Mid 2nd,PICK,None,None,None,Tier 14,3071
140,2025 Late 2nd,PICK,None,None,None,Tier 14,3048
141,Xavier Legette,WR,51,CAR,24.2,Tier 14,3029
142,Isiah Pacheco,RB,33,KCC,26.1,Tier 14,3020
143,Aaron Jones,RB,34,MIN,30.4,Tier 14,2995
144,Tank Bigsby,RB,35,JAC,23.6,Tier 14,2983
145,Jordan Mason,RB,36,MIN,25.9,Tier 14,2976
146,Cooper Kupp,WR,52,SEA,31.8,Tier 14,2974
147,Rhamondre Stevenson,RB,37,NEP,27.1,Tier 14,2971
148,Tyjae Spears,RB,38,TEN,23.8,Tier 14,2947
149,Braelon Allen,RB,39,NYJ,21.2,Tier 14,2933
150,Evan Engram,TE,14,DEN,30.6,Tier 14,2925
151,Tony Pollard,RB,40,TEN,28,Tier 14,2923
152,Rashid Shaheed,WR,53,NOS,26.6,Tier 14,2910
153,Tank Dell,WR,54,HOU,25.4,Tier 14,2894
154,2027 Mid 2nd,PICK,None,None,None,Tier 14,2891
155,Jalen Milroe,QB,31,FA,N/A,Tier 14,2889
156,Darnell Mooney,WR,55,ATL,27.4,Tier 14,2875
157,D'Andre Swift,RB,41,CHI,26.2,Tier 14,2863
158,Jonathon Brooks,RB,42,CAR,21.7,Tier 14,2850
159,Stefon Diggs,WR,56,NEP,31.4,Tier 14,2848
160,Marvin Mims,WR,57,DEN,23.1,Tier 14,2837
161,Cade Otton,TE,15,TBB,26,Tier 14,2816
162,Isaac Guerendo,RB,43,SFO,24.8,Tier 14,2816
163,Pat Freiermuth,TE,16,PIT,26.5,Tier 14,2813
164,Jonnu Smith,TE,17,MIA,29.6,Tier 14,2804
165,Jake Ferguson,TE,18,DAL,26.2,Tier 14,2799
166,2026 Late 2nd,PICK,None,None,None,Tier 14,2781
167,Adonai Mitchell,WR,58,IND,22.5,Tier 14,2781
168,Cole Kmet,TE,19,CHI,26.1,Tier 14,2773
169,Jalen Coker,WR,59,CAR,23.4,Tier 14,2765
170,Quentin Johnston,WR,60,LAC,23.6,Tier 14,2755
171,Cedric Tillman,WR,61,CLE,25,Tier 14,2749
172,Blake Corum,RB,44,LAR,24.4,Tier 14,2749
173,Calvin Ridley,WR,62,TEN,30.3,Tier 14,2748
174,Brenton Strange,TE,20,JAC,24.3,Tier 14,2742
175,Rachaad White,RB,45,TBB,26.2,Tier 14,2739
176,Christian Kirk,WR,63,HOU,28.4,Tier 14,2722
177,Jaylen Wright,RB,46,MIA,22,Tier 14,2722
178,Travis Kelce,TE,21,KCC,35.5,Tier 14,2709
179,Rashod Bateman,WR,64,BAL,25.4,Tier 14,2709
180,Romeo Doubs,WR,65,GBP,25,Tier 14,2697
181,Marquise Brown,WR,66,KCC,27.8,Tier 14,2686
182,Tre Harris,WR,67,FA,N/A,Tier 14,2679
183,Christian Watson,WR,68,GBP,25.9,Tier 14,2669
184,2027 Late 2nd,PICK,None,None,None,Tier 14,2669
185,Dontayvion Wicks,WR,69,GBP,23.8,Tier 14,2661
186,Ray Davis,RB,47,BUF,25.4,Tier 14,2657
187,2025 Early 3rd,PICK,None,None,None,Tier 14,2645
188,Ja'Tavion Sanders,TE,22,CAR,22,Tier 14,2644
189,J.K. Dobbins,RB,48,LAC,26.3,Tier 14,2640
190,Dylan Sampson,RB,49,FA,N/A,Tier 14,2636
191,Javonte Williams,RB,50,DAL,25,Tier 14,2633
192,Ben Sinnott,TE,23,WAS,22.8,Tier 14,2633
193,Dallas Goedert,TE,24,PHI,30.3,Tier 14,2598
194,Wan'Dale Robinson,WR,70,NYG,24.3,Tier 14,2566
195,Russell Wilson,QB,32,NYG,36.4,Tier 14,2553
196,Derek Carr,QB,33,NOS,34,Tier 14,2546
197,Tyler Allgeier,RB,51,ATL,25,Tier 14,2539
198,Joe Milton,QB,34,DAL,25.1,Tier 14,2526
199,Devin Neal,RB,52,FA,N/A,Tier 14,2510
200,2025 Mid 3rd,PICK,None,None,None,Tier 15,2446
201,Trevor Etienne,RB,53,FA,N/A,Tier 15,2425
202,Jayden Higgins,WR,71,FA,N/A,Tier 15,2421
203,Demario Douglas,WR,72,NEP,24.3,Tier 15,2407
204,Isaiah Bond,WR,73,FA,N/A,Tier 15,2402
205,Troy Franklin,WR,74,DEN,22.2,Tier 15,2383
206,Daniel Jones,QB,35,IND,27.9,Tier 15,2382
207,Rico Dowdle,RB,54,CAR,26.8,Tier 15,2363
208,Ollie Gordon,RB,55,FA,N/A,Tier 15,2362
209,Jerome Ford,RB,56,CLE,25.6,Tier 15,2355
210,Kendre Miller,RB,57,NOS,22.8,Tier 15,2320
211,MarShawn Lloyd,RB,58,GBP,24.3,Tier 15,2319
212,Audric Estime,RB,59,DEN,21.6,Tier 15,2316
213,Quinn Ewers,QB,36,FA,N/A,Tier 15,2312
214,2026 Early 3rd,PICK,None,None,None,Tier 15,2308
215,Michael Mayer,TE,25,LVR,23.8,Tier 15,2260
216,Kirk Cousins,QB,37,ATL,36.6,Tier 15,2255
217,Joshua Palmer,WR,75,BUF,25.6,Tier 15,2253
218,Amari Cooper,WR,76,BUF,30.8,Tier 15,2248
219,Noah Gray,TE,26,KCC,26,Tier 15,2247
220,Alec Pierce,WR,77,IND,24.9,Tier 15,2247
221,Mike Gesicki,TE,27,CIN,29.5,Tier 15,2231
222,Theo Johnson,TE,28,NYG,24.1,Tier 15,2222
223,Keenan Allen,WR,78,CHI,33,Tier 15,2205
224,2025 Late 3rd,PICK,None,None,None,Tier 15,2160
225,Chigoziem Okonkwo,TE,29,TEN,25.6,Tier 15,2157
226,Luke Musgrave,TE,30,GBP,24.6,Tier 15,2150
227,Ja'Lynn Polk,WR,79,NEP,23,Tier 15,2150
228,Jordan Whittington,WR,80,LAR,24.5,Tier 15,2145
229,Jameis Winston,QB,38,NYG,31.3,Tier 15,2144
230,2027 Early 3rd,PICK,None,None,None,Tier 15,2144
231,2026 Mid 3rd,PICK,None,None,None,Tier 15,2140
232,Kayshon Boutte,WR,81,NEP,22.9,Tier 15,2131
233,Bhayshul Tuten,RB,60,FA,N/A,Tier 15,2127
234,Michael Wilson,WR,82,ARI,25.1,Tier 15,2115
235,Elic Ayomanor,WR,83,FA,N/A,Tier 15,2108
236,Dalton Schultz,TE,31,HOU,28.8,Tier 15,2101
237,Keaton Mitchell,RB,61,BAL,23.2,Tier 15,2072
238,Harold Fannin,TE,32,FA,N/A,Tier 15,2045
239,Jaleel McLaughlin,RB,62,DEN,24.6,Tier 15,2038
240,Andrei Iosivas,WR,84,CIN,25.5,Tier 15,1997
241,Austin Ekeler,RB,63,WAS,29.9,Tier 15,1992
242,2026 Late 3rd,PICK,None,None,None,Tier 15,1992
243,2027 Mid 3rd,PICK,None,None,None,Tier 15,1991
244,Will Levis,QB,39,TEN,25.8,Tier 15,1988
245,Parker Washington,WR,85,JAC,23.1,Tier 15,1981
246,Roman Wilson,WR,86,PIT,23.8,Tier 15,1978
247,Nick Chubb,RB,64,CLE,29.3,Tier 15,1977
248,Hunter Henry,TE,33,NEP,30.3,Tier 15,1959
249,Juwan Johnson,TE,34,NOS,28.6,Tier 15,1933
250,Luke McCaffrey,WR,87,WAS,24,Tier 15,1933
251,Jalen Royals,WR,88,FA,N/A,Tier 15,1932
252,Dyami Brown,WR,89,JAC,25.4,Tier 15,1906
253,Sean Tucker,RB,65,TBB,23.5,Tier 15,1906
254,Elijah Moore,WR,90,CLE,25,Tier 15,1902
255,Aaron Rodgers,QB,40,NYJ,41.4,Tier 15,1887
256,Zach Ertz,TE,35,WAS,34.4,Tier 15,1881
257,Malik Washington,WR,91,MIA,24.3,Tier 15,1881
258,Jaylin Noel,WR,92,FA,N/A,Tier 15,1864
259,Xavier Restrepo,WR,93,FA,N/A,Tier 15,1855
260,Roschon Johnson,RB,66,CHI,24.2,Tier 15,1841
261,Spencer Rattler,QB,41,NOS,24.5,Tier 15,1830
262,Tutu Atwell,WR,94,LAR,25.5,Tier 15,1829
263,2027 Late 3rd,PICK,None,None,None,Tier 15,1807
264,RJ Harvey,RB,67,FA,N/A,Tier 15,1807
265,Darius Slayton,WR,95,NYG,28.2,Tier 15,1795
266,Adam Thielen,WR,96,CAR,34.6,Tier 15,1788
267,Tre Tucker,WR,97,LVR,24.1,Tier 15,1771
268,Isaiah Davis,RB,68,NYJ,23.1,Tier 15,1769
269,Will Shipley,RB,69,PHI,22.6,Tier 15,1768
270,Kimani Vidal,RB,70,LAC,23.6,Tier 15,1768
271,Gabriel Davis,WR,98,JAC,26,Tier 15,1760
272,2025 Early 4th,PICK,None,None,None,Tier 15,1759
273,DJ Giddens,RB,71,FA,N/A,Tier 15,1747
274,Elijah Arroyo,TE,36,FA,N/A,Tier 15,1746
275,Elijah Mitchell,RB,72,KCC,26.9,Tier 15,1742
276,Javon Baker,WR,99,NEP,23.1,Tier 15,1737
277,DeAndre Hopkins,WR,100,BAL,32.8,Tier 15,1734
278,Noah Fant,TE,37,SEA,27.4,Tier 15,1717
279,2025 Mid 4th,PICK,None,None,None,Tier 15,1681
280,Malachi Corley,WR,101,NYJ,23.1,Tier 15,1679
281,Damien Martinez,RB,73,FA,N/A,Tier 15,1679
282,Jalen Tolbert,WR,102,DAL,26.1,Tier 15,1673
283,John Metchie,WR,103,HOU,24.7,Tier 15,1672
284,Cade Stover,TE,38,HOU,24.8,Tier 15,1660
285,Jalin Hyatt,WR,104,NYG,23.5,Tier 15,1657
286,Malik Willis,QB,42,GBP,25.9,Tier 15,1655
287,Devaughn Vele,WR,105,DEN,27.3,Tier 15,1655
288,Mac Jones,QB,43,SFO,26.6,Tier 15,1653
289,Erick All,TE,39,CIN,24.6,Tier 15,1650
290,Antonio Gibson,RB,74,NEP,26.8,Tier 15,1648
291,Kenny Pickett,QB,44,CLE,26.8,Tier 15,1647
292,Jahan Dotson,WR,106,PHI,25,Tier 15,1641
293,Will Howard,QB,45,FA,N/A,Tier 15,1636
294,Sam Howell,QB,46,SEA,24.6,Tier 15,1632
295,AJ Barner,TE,40,SEA,22.9,Tier 15,1632
296,Jermaine Burton,WR,107,CIN,23.8,Tier 15,1628
297,Kareem Hunt,RB,75,KCC,29.7,Tier 15,1627
298,Trey Palmer,WR,108,TBB,24,Tier 15,1625
299,Dawson Knox,TE,41,BUF,28.4,Tier 15,1622
300,Kenneth Gainwell,RB,76,PIT,26.1,Tier 15,1621
301,2026 Early 4th,PICK,None,None,None,Tier 15,1616
302,Devin Singletary,RB,77,NYG,27.6,Tier 15,1612
303,Justice Hill,RB,78,BAL,27.4,Tier 15,1597
304,Zack Moss,RB,79,CIN,27.3,Tier 15,1597
305,Jalen Nailor,WR,109,MIN,26.1,Tier 15,1582
306,2025 Late 4th,PICK,None,None,None,Tier 15,1582
307,Luke Schoonmaker,TE,42,DAL,26.5,Tier 15,1550
308,2026 Mid 4th,PICK,None,None,None,Tier 15,1548
309,Rondale Moore,WR,110,MIN,24.8,Tier 15,1545
310,Jack Bech,WR,111,FA,N/A,Tier 15,1531
311,Sincere McCormick,RB,80,LVR,24.6,Tier 15,1522
312,Dillon Gabriel,QB,47,FA,N/A,Tier 15,1517
313,Tez Johnson,WR,112,FA,N/A,Tier 15,1516
314,2027 Early 4th,PICK,None,None,None,Tier 15,1503
315,Nick Westbrook-Ikhine,WR,113,MIA,28.1,Tier 15,1502
316,Calvin Austin III,WR,114,PIT,26,Tier 15,1475
317,Curtis Samuel,WR,115,BUF,28.7,Tier 15,1474
318,Xavier Hutchinson,WR,116,HOU,24.9,Tier 15,1467
319,Jonathan Mingo,WR,117,DAL,24,Tier 15,1462
320,Aidan O'Connell,QB,48,LVR,26.6,Tier 15,1450
321,Mike Williams,WR,118,LAC,30.5,Tier 15,1424
322,Zach Wilson,QB,49,MIA,25.7,Tier 15,1412
323,Jacob Cowing,WR,119,SFO,24.2,Tier 15,1412
324,Joe Flacco,QB,50,IND,40.2,Tier 15,1390
325,Diontae Johnson,WR,120,BAL,28.8,Tier 15,1389
326,Tyler Conklin,TE,43,LAC,29.7,Tier 15,1388
327,Khalil Herbert,RB,81,IND,27,Tier 15,1388
328,Tyler Higbee,TE,44,LAR,32.3,Tier 15,1386
329,Darnell Washington,TE,45,PIT,23.6,Tier 15,1377
330,Ty Johnson,RB,82,BUF,27.6,Tier 15,1369
331,Emanuel Wilson,RB,83,GBP,25.9,Tier 15,1363
332,Dameon Pierce,RB,84,HOU,25.1,Tier 15,1356
333,Cam Akers,RB,85,MIN,25.8,Tier 15,1349
334,2027 Mid 4th,PICK,None,None,None,Tier 15,1342
335,Alexander Mattison,RB,86,MIA,26.8,Tier 15,1333
336,2026 Late 4th,PICK,None,None,None,Tier 15,1331
337,Jake Bobo,WR,121,SEA,26.7,Tier 15,1321
338,Tahj Washington,WR,122,MIA,23.9,Tier 15,1317
339,Kendrick Bourne,WR,123,NEP,29.7,Tier 15,1308
340,Ray-Ray McCloud,WR,124,ATL,28.5,Tier 15,1307
341,Devontez Walker,WR,125,BAL,23.8,Tier 15,1305
342,Greg Dortch,WR,126,ARI,26.9,Tier 15,1301
343,Zamir White,RB,87,LVR,25.6,Tier 15,1294
344,Will Dissly,TE,46,LAC,28.8,Tier 15,1282
345,Taysom Hill,TE,47,NOS,34.6,Tier 15,1274
346,Jaydon Blue,RB,88,FA,N/A,Tier 15,1272
347,Mason Rudolph,QB,51,PIT,29.7,Tier 15,1269
348,Bub Means,WR,127,NOS,24.2,Tier 15,1261
349,Daniel Bellinger,TE,48,NYG,24.6,Tier 15,1260
350,Miles Sanders,RB,89,DAL,28,Tier 15,1255
351,Tommy Tremble,TE,49,CAR,24.9,Tier 15,1250
352,Colby Parkinson,TE,50,LAR,26.2,Tier 15,1249
353,Gardner Minshew,QB,52,KCC,28.9,Tier 15,1232
354,Jordan Travis,QB,53,NYJ,24.9,Tier 15,1226
355,AJ Dillon,RB,90,PHI,26.9,Tier 15,1220
356,Grant Calcaterra,TE,51,PHI,26.4,Tier 15,1214
357,Brandin Cooks,WR,128,NOS,31.5,Tier 15,1208
358,Olamide Zaccheaus,WR,129,CHI,27.7,Tier 15,1204
359,Hendon Hooker,QB,54,DET,27.2,Tier 15,1189
360,Jared Wiley,TE,52,KCC,24.4,Tier 15,1176
361,Demarcus Robinson,WR,130,SFO,30.6,Tier 15,1168
362,Treylon Burks,WR,131,TEN,25,Tier 15,1165
363,Chris Rodriguez,RB,91,WAS,25.5,Tier 15,1165
364,Israel Abanikanda,RB,92,SFO,22.5,Tier 15,1163
365,Greg Dulcich,TE,53,NYG,25,Tier 15,1160
366,JuJu Smith-Schuster,WR,132,KCC,28.4,Tier 15,1158
367,2027 Late 4th,PICK,None,None,None,Tier 15,1157
368,Noah Brown,WR,133,WAS,29.3,Tier 15,1152
369,Tyler Lockett,WR,134,FA,32.5,Tier 15,1151
370,Brenden Rice,WR,135,LAC,23.1,Tier 15,1139
371,Ty Chandler,RB,93,MIN,26.9,Tier 15,1132
372,Rasheen Ali,RB,94,BAL,24.2,Tier 15,1121
373,Brevin Jordan,TE,54,HOU,24.7,Tier 15,1110
374,Bo Melton,WR,136,GBP,25.9,Tier 15,1108
375,Gunnar Helm,TE,55,FA,N/A,Tier 15,1094
376,Mason Taylor,TE,56,FA,N/A,Tier 15,1082
377,Jordan James,RB,95,FA,N/A,Tier 15,1076
378,Mack Hollins,WR,137,NEP,31.6,Tier 15,1074
379,KaVontae Turpin,WR,138,DAL,28.7,Tier 15,1069
380,Frank Gore Jr.,RB,96,BUF,23.1,Tier 15,1051
381,Johnny Wilson,WR,139,PHI,24,Tier 15,1038
382,Marquez Valdes-Scantling,WR,140,SEA,30.5,Tier 15,1034
383,Elijah Higgins,TE,57,ARI,24.4,Tier 15,1033
384,Jelani Woods,TE,58,IND,26.5,Tier 15,1032
385,Drew Lock,QB,55,NYG,28.4,Tier 15,1030
386,Xavier Gipson,WR,141,NYJ,24.1,Tier 15,1029
387,Carson Steele,RB,97,KCC,22.5,Tier 15,1029
388,Jake Browning,QB,56,CIN,29,Tier 15,1018
389,Michael Carter,RB,98,ARI,25.9,Tier 15,1006
390,Raheem Mostert,RB,99,LVR,33,Tier 15,1004
391,Tyler Goodson,RB,100,IND,24.4,Tier 15,998
392,Davis Allen,TE,59,LAR,24.2,Tier 15,998
393,Tyler Shough,QB,57,FA,N/A,Tier 15,992
394,Stone Smartt,TE,60,NYJ,26.5,Tier 15,976
395,A.T. Perry,WR,142,DEN,25.5,Tier 15,976
396,Mason Tipton,WR,143,NOS,24.5,Tier 15,975
397,Deuce Vaughn,RB,101,DAL,23.4,Tier 15,974
398,Foster Moreau,TE,61,NOS,27.9,Tier 15,965
399,Dylan Laube,RB,102,LVR,25.3,Tier 15,961
400,Mecole Hardman,WR,144,GBP,27.1,Tier 15,950
401,Sione Vaki,RB,103,DET,23.7,Tier 15,950
402,Tim Patrick,WR,145,DET,31.4,Tier 15,949
403,K.J. Osborn,WR,146,WAS,27.8,Tier 15,948
404,Tyler Badie,RB,104,DEN,25.2,Tier 15,934
405,Van Jefferson,WR,147,TEN,28.7,Tier 15,924
406,Dorian Thompson-Robinson,QB,58,PHI,25.4,Tier 15,921
407,Deshaun Watson,QB,59,CLE,29.6,Tier 15,920
408,Trey Lance,QB,60,LAC,24.9,Tier 15,919
409,Riley Leonard,QB,61,FA,N/A,Tier 15,918
410,Ainias Smith,WR,148,PHI,23.9,Tier 15,913
411,Tyler Johnson,WR,149,NYJ,26.6,Tier 15,909
412,Eric Gray,RB,105,NYG,25.4,Tier 15,901
413,Emari Demercado,RB,106,ARI,26.2,Tier 15,900
414,Jamari Thrash,WR,150,CLE,24.3,Tier 15,900
415,Trey Sermon,RB,107,IND,26.2,Tier 15,892
416,Jaheim Bell,TE,62,NEP,23.8,Tier 15,888
417,Allen Lazard,WR,151,NYJ,29.3,Tier 15,884
418,Terrace Marshall,WR,152,LVR,24.8,Tier 15,884
419,Samaje Perine,RB,108,CIN,29.6,Tier 15,879
420,Jacoby Brissett,QB,62,ARI,32.3,Tier 15,878
421,Clyde Edwards-Helaire,RB,109,NOS,26,Tier 15,877
422,Zay Jones,WR,153,ARI,30,Tier 15,870
423,Terrance Ferguson,TE,63,FA,N/A,Tier 15,869
424,Tyler Huntley,QB,63,MIA,27.2,Tier 15,863
425,David Bell,WR,154,CLE,24.3,Tier 15,858
426,Jase McClellan,RB,110,ATL,22.8,Tier 15,853
427,Cooper Rush,QB,64,BAL,31.4,Tier 15,850
428,Tyler Boyd,WR,155,TEN,30.4,Tier 15,846
429,Jeremy Ruckert,TE,64,NYJ,24.7,Tier 15,843
430,Donovan Edwards,RB,111,FA,N/A,Tier 15,842
431,Pierre Strong Jr.,RB,112,CLE,26.3,Tier 15,839
432,Tyquan Thornton,WR,156,KCC,24.7,Tier 15,834
433,Rakim Jarrett,WR,157,TBB,24.2,Tier 15,834
