Rank,Player Name,Position,Position Rank,Team,Age,Tier,Value
1,Jayden Daniels,QB,1,WAS,24.3,Tier 1,9996
2,Josh Allen,QB,2,BUF,28.9,Tier 1,9994
3,Ja'Marr Chase,WR,1,CIN,25.1,Tier 1,9991
4,Lamar Jackson,QB,3,BAL,28.3,Tier 1,9665
5,Justin Jefferson,WR,2,MIN,25.8,Tier 1,9548
6,Joe Burrow,QB,4,CIN,28.3,Tier 2,8496
7,Malik Nabers,WR,3,NYG,21.7,Tier 2,8452
8,Jahmyr Gibbs,RB,1,DET,23.1,Tier 2,8153
9,Bijan Robinson,RB,2,ATL,23.2,Tier 2,8134
10,Jalen Hurts,QB,5,PHI,26.7,Tier 2,8067
11,Brock Bowers,TE,1,LVR,22.3,Tier 2,8064
12,CeeDee Lamb,WR,4,DAL,26,Tier 3,7833
13,Brian Thomas Jr.,WR,5,JAC,22.5,Tier 3,7747
14,Amon-Ra St. Brown,WR,6,DET,25.5,Tier 3,7585
15,Puka Nacua,WR,7,LAR,23.9,Tier 3,7503
16,Patrick Mahomes,QB,6,KCC,29.6,Tier 4,7219
17,Ashton Jeanty,RB,3,FA,N/A,Tier 4,7089
18,Justin Herbert,QB,7,LAC,27.1,Tier 5,6788
19,Drake Maye,QB,8,NEP,22.6,Tier 5,6776
20,Caleb Williams,QB,9,CHI,23.4,Tier 5,6748
21,C.J. Stroud,QB,10,HOU,23.5,Tier 5,6690
22,Nico Collins,WR,8,HOU,26.1,Tier 5,6636
23,Trey McBride,TE,2,ARI,25.4,Tier 5,6586
24,Saquon Barkley,RB,4,PHI,28.2,Tier 5,6581
25,Drake London,WR,9,ATL,23.7,Tier 5,6553
26,Bo Nix,QB,11,DEN,25.1,Tier 5,6476
27,Marvin Harrison Jr.,WR,10,ARI,22.7,Tier 5,6476
28,Jaxon Smith-Njigba,WR,11,SEA,23.2,Tier 5,6418
29,2025 Early 1st,PICK,None,None,None,Tier 5,6399
30,Ladd McConkey,WR,12,LAC,23.4,Tier 5,6370
31,Jordan Love,QB,12,GBP,26.4,Tier 5,6290
32,Garrett Wilson,WR,13,NYJ,24.7,Tier 5,6260
33,A.J. Brown,WR,14,PHI,27.8,Tier 5,6207
34,De'Von Achane,RB,5,MIA,23.5,Tier 5,6202
35,2026 Early 1st,PICK,None,None,None,Tier 6,5710
36,Bucky Irving,RB,6,TBB,22.6,Tier 6,5689
37,Breece Hall,RB,7,NYJ,23.9,Tier 6,5681
38,Kyler Murray,QB,13,ARI,27.7,Tier 6,5649
39,Tee Higgins,WR,15,CIN,26.2,Tier 6,5585
40,Rome Odunze,WR,16,CHI,22.8,Tier 6,5574
41,J.J. McCarthy,QB,14,MIN,22.2,Tier 6,5551
42,Omarion Hampton,RB,8,FA,N/A,Tier 6,5543
43,Brock Purdy,QB,15,SFO,25.3,Tier 6,5510
